country,pcgovhealth,legislation,coordination,surveillance,preparedness,foodsafety,birthrate,mlifebirth,flifebirth,lifebirth,life60
Afghanistan,10.7,0,36,80,0,13,35.3,58,61,60,16
Algeria,234.4,0,53,35,10,0,24.6,70,73,72,18
Andorra,2340.6,75,30,65,40,73,9,79,86,83,25
Antigua and Barbuda,513.6,100,66,95,60,80,16.6,73,77,75,22
Argentina,688.7,50,73,80,100,60,16.9,73,79,76,21
Armenia,62.9,75,90,85,100,87,13.9,67,75,71,17
Australia,4108.4,100,100,95,100,100,13.3,81,85,83,25
Austria,4085.1,75,90,95,100,100,9.5,78,83,81,24
Bahrain,643.5,100,100,100,70,93,15.6,76,78,77,20
Bangladesh,9,75,66,80,50,27,20.3,69,71,70,18
Barbados,615.1,50,40,95,40,93,12.7,75,81,78,23
Belgium,3576,100,80,65,50,100,11.7,78,83,80,23
Belize,168.4,25,36,85,10,67,23.8,72,78,75,21
Benin,17,0,80,45,30,13,36.9,57,60,59,16
Bolivia (Plurinational State of),106.7,50,56,75,60,60,26,65,70,68,19
Brunei Darussalam,861.9,50,63,90,70,93,15.9,76,78,77,21
Burkina Faso,20.5,100,53,60,30,27,41.4,57,59,58,15
Burundi,11.9,0,73,95,40,7,45,54,57,56,16
Cambodia,12.7,50,56,95,20,40,25.9,70,75,72,24
Cameroon,19.8,100,26,75,60,47,37.7,55,57,56,16
Canada,4021.6,100,83,100,100,100,11.2,80,84,82,25
Chile,536.1,50,46,85,70,93,14.1,77,83,80,24
China,180,100,100,100,100,93,13.4,74,77,75,19
Colombia,401.5,100,73,70,50,80,19.1,76,83,79,25
Congo,73.7,25,56,100,70,67,38,57,60,59,17
Cook Islands,465.7,100,90,100,100,100,15,73,78,76,21
Costa Rica,709.6,100,100,95,60,100,15.3,77,81,79,23
Cuba,525.6,100,100,100,100,100,9.6,76,81,79,22
Czech Republic,1214.2,100,83,100,90,100,11.1,75,81,78,21
Democratic Republic of the Congo,7.8,100,30,85,50,80,43.2,50,53,52,15
Djibouti,77.2,50,36,45,0,67,27.8,60,63,61,16
Dominica,282,75,100,85,50,73,16,72,77,75,21
Dominican Republic,158,75,90,80,70,27,21.2,76,78,77,23
Ecuador,162,0,56,35,20,60,21.1,73,78,75,22
Egypt,59.2,75,83,90,80,73,23.5,69,74,71,17
El Salvador,159.2,75,90,100,50,73,20.2,68,77,72,22
Estonia,807.2,25,46,80,50,100,11,71,81,77,21
Ethiopia,8.5,100,83,85,100,73,33.6,62,65,64,18
Fiji,114.8,75,36,50,40,60,20.8,67,73,69,17
Finland,3191.6,100,100,100,80,100,11.2,78,84,81,24
France,3608.7,100,63,95,80,93,12.4,79,85,82,25
Georgia,60,100,100,100,100,67,13.5,70,78,74,20
Germany,3572.3,100,100,100,80,100,8.4,78,83,81,24
Ghana,47.4,50,53,80,50,47,31.3,61,64,62,17
Grenada,222.6,50,83,90,0,67,19.4,69,77,73,19
Guatemala,80.4,75,66,85,20,47,31.4,68,75,72,21
Guyana,155.3,100,83,80,90,67,20.7,60,67,63,15
Honduras,98.1,50,26,90,20,67,26.1,72,77,74,22
Hungary,628,100,50,80,60,93,9.8,71,79,75,20
Iceland,3123.1,100,100,75,100,100,14.6,81,84,82,25
India,20.3,100,100,85,60,80,20.7,64,68,66,17
Indonesia,42.7,100,46,85,80,87,19.2,69,73,71,18
Iran (Islamic Republic of),197.9,100,90,100,80,100,19,72,76,74,20
Iraq,121.2,100,83,90,70,33,31.5,66,74,70,18
Ireland,2390,25,80,85,80,100,15.6,79,83,81,24
Jamaica,174.8,50,73,100,90,93,18.1,72,77,74,21
Japan,3919.6,100,100,100,100,100,8.4,80,87,84,26
Jordan,244.9,50,50,100,100,93,27.7,72,75,74,19
Kazakhstan,301.2,100,53,70,90,100,20.9,63,72,68,16
Kenya,17,50,90,75,70,80,35.5,59,62,61,18
Kiribati,154.4,100,100,100,100,80,23.3,64,69,66,17
Kuwait,1178.6,100,100,65,90,80,20.9,78,79,78,21
Lao People's Democratic Republic,20.6,50,36,75,10,40,27.3,64,67,66,17
Latvia,449.6,100,66,80,100,100,10.9,69,79,74,20
Lebanon,190.6,100,56,65,20,60,13.2,78,82,80,22
Libya,447.2,75,73,65,60,33,21.1,73,77,75,20
Lithuania,608.3,100,83,85,70,100,11.2,68,80,74,21
Luxembourg,6294.3,0,53,50,50,73,11.6,80,84,82,25
Malaysia,230.4,100,100,100,100,100,17.6,72,76,74,19
Maldives,253,75,83,85,40,67,22.2,76,78,77,20
Malta,1203.6,100,100,100,60,100,9.3,79,83,81,24
Marshall Islands,486.9,75,60,75,90,20,28,68,72,70,18
Mauritania,33.1,0,20,35,0,13,34.5,61,65,63,16
Mexico,320.3,100,53,80,60,87,18.8,73,79,76,22
Micronesia (Federated States of),365.4,100,83,75,80,87,23.5,68,70,69,17
Monaco,5941.5,75,63,70,60,100,7,79,86,82,25
Mongolia,145.7,100,100,55,50,33,22.9,64,72,67,16
Montenegro,294.5,25,100,75,70,80,11.8,73,78,76,20
Morocco,63.7,100,100,95,100,100,22.6,69,73,71,18
Mozambique,16.5,0,83,70,30,20,39.4,52,54,53,16
Myanmar,4.7,75,90,100,100,100,17.4,64,68,66,17
Nepal,14.2,75,66,35,40,60,21.6,67,69,68,17
Netherlands,4579.2,100,100,100,70,100,10.8,79,83,81,24
New Zealand,2722.8,100,90,100,100,100,14,80,84,82,25
Nicaragua,78.4,25,100,95,80,80,23.1,70,76,73,21
Nigeria,29.4,0,20,65,40,53,41.5,53,55,54,16
Norway,7704.4,100,100,95,100,100,12.5,80,84,82,24
Oman,555.1,100,100,95,100,93,21.4,74,78,76,20
Pakistan,12.4,75,30,45,10,47,25.7,64,66,65,17
Palau,749,100,70,100,90,100,11,71,75,73,18
Panama,496.3,100,73,90,50,93,19.8,74,80,77,23
Papua New Guinea,94.4,0,73,80,50,47,29.3,60,65,62,15
Paraguay,164.8,50,80,55,10,60,23.9,72,78,75,21
Peru,198.7,100,50,100,50,93,20,75,79,77,23
Philippines,44.8,25,100,100,100,47,24.6,65,72,69,17
Poland,598.4,50,100,95,90,73,10.8,73,81,77,21
Qatar,1696.6,100,83,95,100,93,11.2,79,80,79,22
Republic of Korea,926.7,100,100,100,100,100,9.6,78,85,81,24
Republic of Moldova,108.8,100,83,95,40,67,12.3,66,75,71,17
Saint Kitts and Nevis,324.2,100,66,60,40,93,14,71,78,74,19
Saint Lucia,307.1,0,73,80,50,40,15.7,71,79,75,21
Saint Vincent and the Grenadines,279,0,46,75,10,40,16.6,72,76,74,21
Samoa,216.8,75,90,70,80,53,26.8,70,77,73,19
Sao Tome and Principe,34.6,0,36,55,0,27,34.7,65,69,67,18
Saudi Arabia,522.8,100,100,90,100,100,19.9,74,78,76,19
Senegal,28.6,0,53,70,30,40,38.1,63,66,64,16
Seychelles,485.9,0,20,95,0,53,17.1,69,78,74,20
Singapore,912.1,100,100,100,100,100,9.9,80,85,83,25
Slovakia,934.8,100,100,100,90,100,10.7,72,80,76,21
Slovenia,1423.3,100,30,85,40,87,10.1,77,83,80,23
Solomon Islands,142,0,63,75,10,27,31.5,67,70,69,17
South Africa,308.7,75,73,50,80,60,21.1,56,62,59,16
Spain,2065.3,100,83,95,100,93,10.6,79,85,82,25
Sri Lanka,35.3,100,63,100,50,87,18.1,71,78,75,20
Sudan,26.8,0,56,85,60,7,33.9,61,65,63,17
Suriname,297.1,50,66,35,50,67,18,75,80,77,23
Swaziland,192.3,0,26,95,60,47,30.2,52,55,54,17
Sweden,4345.8,100,100,95,100,100,12,80,84,82,24
Switzerland,5538.4,100,100,90,100,93,10.3,81,85,83,25
Syrian Arab Republic,48.2,50,53,70,20,87,24.4,62,76,68,19
Tajikistan,16.3,100,90,95,90,80,33.1,67,69,68,17
Thailand,164.4,100,90,85,90,93,10.5,71,79,75,21
Timor-Leste,36.7,50,46,50,20,93,35.9,65,68,66,17
Tonga,199.8,100,100,65,10,40,26.1,74,69,71,18
Trinidad and Tobago,489.5,50,56,80,50,87,14.7,67,74,70,18
Tunisia,175.3,75,100,85,40,73,17.4,74,78,76,21
Turkey,491.1,75,100,65,70,80,17.1,72,78,75,21
Tuvalu,576.5,100,100,100,100,100,23,66,70,68,16
Uganda,10.4,25,70,75,60,53,43.7,56,58,57,16
United Arab Emirates,909.6,50,63,70,50,67,15.1,76,78,76,20
United Republic of Tanzania,16.3,50,20,50,40,53,39.7,59,63,61,18
United States of America,4126.1,100,100,100,100,100,13.3,76,81,79,23
Vanuatu,100.1,0,0,30,0,27,26.9,70,74,72,18
Venezuela (Bolivarian Republic of),199.9,25,73,80,80,87,20.1,72,80,76,23
Viet Nam,43.6,50,46,60,70,87,15.9,71,80,76,22
Yemen,19.4,75,56,70,40,40,31.5,62,65,64,16
Zambia,61.6,0,83,95,100,93,43,55,58,57,17
